Record Type,Record Name,Record Topic,Record SubTopic,Date,Start Time,TTime,CTime,End Time,ETime,Total Time,Restart-1,R1-Start Time,R1-CTime,R1-End Time,R1-ETime
Activity,Timer,Testing ,Total time,02-Jun-21,5:54:51 PM,00:01:00,00:01:00,5:56:06 PM,00:00:14,75,,,,,
Activity,Timer ,Save countdown time,testing,02-Jun-21,6:59:08 PM,00:01:00,00:01:00,7:00:30 PM,00:00:20,153,00:01:00,7:00:30 PM,00:01:00,7:01:44 PM,00:00:11
Activity,Timer,Countdown,Test Saving timer,02-Jun-21,7:03:19 PM,00:01:00,00:01:00,7:04:25 PM,00:00:04,65,,,,,
Activity,Testing,testing time,Saving time,03-Jun-2021,11:34:42 AM,00:01:00,00:01:00,11:36:26 AM,00:00:43,103,,,,,
Activity,Recording ACtivity,Fresh,Test Saving Time,03-Jun-2021,11:42:26 AM,00:5:00,00:05:00,11:54:52 AM,,746,,,,,
Activity,Food,Take breakfast,Breakfast,03-Jun-2021,12:01:34 PM,00:15:00,,,,233,,,,,
Activity,Food Retry 1,Get BreakFast,BreakFast,03-Jun-2021,12:13:39 PM,00:15:00,00:15:00,12:43:04 PM,00:14:24,1764,,,,,
Subject,Root,TM-TYT,,04-Jun-2021,04:19:42 PM,00:01:00,00:00:30,04:20:13 PM,,31,,,,,
Activity,Testing ,Watch List,Timer,04-Jun-2021,04:20:54 PM,00:01:00,00:01:00,04:22:03 PM,00:00:07,68,,,,,
Subject,Root,TM-TYT,,04-Jun-2021,05:20:51 PM,00:01:00,00:01:00,05:22:05 PM,00:00:12,73,,,,,
Subject,Root,TM-TYT,,05-Jun-2021,04:26:35 AM,00:02:00,00:02:00,04:30:19 AM,00:01:42,223,,,,,
Subject,Root,TM-TYT,,05-Jun-2021,04:40:01 AM,00:01:00,00:00:33,04:40:34 AM,,34,,,,,
Subject,Root,TM-TYT,,05-Jun-2021,04:43:11 AM,00:01:00,00:00:11,04:43:22 AM,,12,,,,,
Subject,Root,TM-TYT,,05-Jun-2021,04:43:37 AM,00:02:00,00:00:10,04:43:48 AM,,11,,,,,
Subject,Root,TM-TYT,,05-Jun-2021,04:48:24 AM,00:02:00,00:00:36,04:50:34 AM,,37,,,,,
Subject,Root,TM-TYT,,05-Jun-2021,06:45:04 AM,00:02:00,00:00:18,06:45:22 AM,,19,,,,,
Subject,Root.TM-TYT,Card1,,06-Jun-2021,02:36:45 PM,00:05:00,00:05:00,02:54:31 PM,00:12:45,1065,,,,,
Activity,Daily Activity,Coocking Rice,None,06-Jun-2021,03:01:05 PM,00:30:00,00:30:00,04:04:51 PM,00:33:43,3823,,,,,
Activity,Entertainment,Movie,Ben 10,06-Jun-2021,04:05:36 PM,00:30:00,00:24:24,04:30:01 PM,,1465,,,,,
Subject,Root.TM-TYT,Card1,,06-Jun-2021,06:13:50 PM,00:02:00,00:02:00,06:31:37 PM,00:15:45,1065,,,,,
Subject,Root.TM-TYT,Card1,,06-Jun-2021,07:06:52 PM,00:01:00,00:01:00,07:12:46 PM,00:04:52,352,,,,,
Subject,Root.TM-TYT,Card1,,06-Jun-2021,07:14:23 PM,00:05:00,00:00:34,07:14:57 PM,,35,,,,,
Subject,Root.TM-TYT,Card1,,06-Jun-2021,07:15:22 PM,00:05:00,00:01:00,07:16:22 PM,,61,,,,,
Project,Root.TM-TYT2,Card 1,,06-Jun-2021,07:19:34 PM,00:15:00,00:15:00,07:43:02 PM,00:08:26,1407,,,,,
Activity,Root,Daily Actvity,,06-Jun-2021,08:26:34 PM,00:01:00,00:01:00,08:27:52 PM,00:00:16,77,,,,,
Subject,Root,TM-TYT,,06-Jun-2021,08:38:02 PM,00:05:00,00:00:58,08:39:01 PM,,59,,,,,
Subject,Root,TM-TYT,,06-Jun-2021,08:39:16 PM,00:02:00,00:00:52,08:40:09 PM,,53,,,,,
